2025-01-22 17:13:46.148098,all,[183550.5355],,2018-01-05,000:00:11,0.1
2025-01-22 17:32:26.903428,all,[183041.002],,2018-01-05,000:00:11,0.1
2025-01-22 17:45:59.509328,all,[183041.002],,2018-01-05,11.341619729995728,0.1
2025-01-22 17:50:45.510935,all,[183041.002],,2018-01-05,11.577672719955444,0.1
2025-01-22 18:04:30.332525,all,[184456.91],,2018-01-05,11.554260969161987,0.1
2025-01-22 19:11:14.533557,all,[144160.2625],,2019-08-01,11.18454885482788,0.1
2025-01-22 19:34:52.515643,all,[144160.2625],,2019-08-01,11.371731281280518,0.1
2025-01-22 19:35:03.696750,all,[144160.2625],,2019-08-02,11.18063497543335,0.1
2025-01-22 19:35:14.956410,all,[144160.2625],,2019-08-03,11.25921082496643,0.1
2025-01-22 19:35:26.162611,all,[144160.2625],,2019-08-04,11.205753564834595,0.1
2025-01-22 19:35:37.391606,all,[144160.2625],,2019-08-05,11.22857117652893,0.1
2025-01-22 19:35:48.816957,all,[144160.2625],,2019-08-06,11.424905061721802,0.1
2025-01-22 19:36:00.056622,all,[144160.2625],,2019-08-07,11.239232778549194,0.1
2025-01-22 19:36:11.321203,all,[144160.2625],,2019-08-08,11.264146327972412,0.1
2025-01-22 19:36:22.514028,all,[144160.2625],,2019-08-09,11.19237995147705,0.1
2025-01-22 19:36:33.700685,all,[144160.2625],,2019-08-10,11.1862211227417,0.1
2025-01-22 19:36:44.914439,all,[144160.2625],,2019-08-11,11.213300704956055,0.1
2025-01-22 19:36:56.178676,all,[144160.2625],,2019-08-12,11.263778924942017,0.1
2025-01-22 19:37:07.521458,all,[144160.2625],,2019-08-13,11.342315196990967,0.1
2025-01-22 19:37:18.772020,all,[144160.2625],,2019-08-14,11.250115156173706,0.1
2025-01-22 19:37:30.131103,all,[144160.2625],,2019-08-15,11.358636617660522,0.1
2025-01-22 19:37:41.791641,all,[144160.2625],,2019-08-16,11.660056114196777,0.1
2025-01-22 19:37:53.373694,all,[144160.2625],,2019-08-17,11.581584930419922,0.1
2025-01-22 19:38:05.411078,all,[144160.2625],,2019-08-18,12.036918640136719,0.1
2025-01-22 19:38:17.265786,all,[144160.2625],,2019-08-19,11.854231834411621,0.1
2025-01-22 19:38:28.632285,all,[144160.2625],,2019-08-20,11.366021394729614,0.1
2025-01-22 19:38:39.820627,all,[144160.2625],,2019-08-21,11.187865257263184,0.1
2025-01-22 19:38:50.959459,all,[144160.2625],,2019-08-22,11.138373851776123,0.1
2025-01-22 19:39:02.329096,all,[144160.2625],,2019-08-23,11.369194746017456,0.1
2025-01-22 19:39:13.491397,all,[144160.2625],,2019-08-24,11.16176438331604,0.1
2025-01-22 19:39:24.636574,all,[144160.2625],,2019-08-25,11.144734144210815,0.1
2025-01-22 19:39:35.784859,all,[144160.2625],,2019-08-26,11.147851705551147,0.1
2025-01-22 19:39:46.918759,all,[144160.2625],,2019-08-27,11.133463621139526,0.1
2025-01-22 19:39:58.041479,all,[144160.2625],,2019-08-28,11.12228512763977,0.1
2025-01-22 19:40:09.230731,all,[144160.2625],,2019-08-29,11.188796281814575,0.1
2025-01-22 19:40:20.585034,all,[144160.2625],,2019-08-30,11.353838682174683,0.1
2025-01-22 19:43:21.366838,all,[144160.2625],,2019-08-01,11.94396448135376,0.1
2025-01-22 19:43:32.881137,all,[144160.2625],,2019-08-02,11.513817071914673,0.1
2025-01-22 19:43:44.141229,all,[144160.2625],,2019-08-03,11.259594440460205,0.1
2025-01-22 19:43:55.390762,all,[144160.2625],,2019-08-04,11.24905800819397,0.1
2025-01-22 19:44:06.633088,all,[144160.2625],,2019-08-05,11.2418692111969,0.1
2025-01-22 19:50:23.687192,all,[144160.2625],,2019-08-01,11.304899215698242,0.1
2025-01-22 19:51:44.074972,all,[144160.2625],,2019-08-01,11.524474859237671,0.1
2025-01-22 19:59:50.809880,all,[144160.2625],,2019-08-01,11.309908390045166,0.1
2025-01-22 20:01:46.385679,all,[144160.2625],,2019-08-01,11.29021143913269,0.1
2025-01-22 20:02:58.450480,all,[144160.2625],,2019-08-01,11.200474500656128,0.1
2025-01-22 20:03:09.637524,all,[144160.2625],,2019-08-02,11.186589241027832,0.1
2025-01-22 20:03:20.856142,all,[144160.2625],,2019-08-03,11.218171119689941,0.1
2025-01-22 20:03:32.508190,all,[144160.2625],,2019-08-04,11.651590824127197,0.1
2025-01-22 20:03:43.811879,all,[144160.2625],,2019-08-05,11.303246974945068,0.1
2025-01-22 20:03:55.046816,all,[144160.2625],,2019-08-06,11.234401941299438,0.1
2025-01-22 20:04:06.330767,all,[144160.2625],,2019-08-07,11.28347659111023,0.1
2025-01-22 20:04:17.540311,all,[144160.2625],,2019-08-08,11.209088325500488,0.1
2025-01-22 20:04:29.139753,all,[144160.2625],,2019-08-09,11.598977327346802,0.1
2025-01-22 20:04:40.742626,all,[144160.2625],,2019-08-10,11.602367162704468,0.1
2025-01-22 20:08:10.485471,all,[144160.2625],,2019-08-01,11.419756412506104,0.1
2025-01-22 20:09:13.892490,singapore,[0.],,2019-08-01,11.348917245864868,0.1
2025-01-22 20:10:02.265536,france,[1695.96466667],,2019-08-01,11.92112398147583,0.1
2025-01-22 20:18:33.244033,france,[1695.96466667],,2019-08-01,11.838058233261108,0.1
2025-01-22 20:18:44.738400,france,[1695.96466667],,2019-08-02,11.493850708007812,0.1
2025-01-22 20:19:41.147846,united_kingdom,[124324.2934],,2019-08-01,11.128601551055908,0.1
2025-01-22 20:19:52.416403,united_kingdom,[124324.2934],,2019-08-02,11.268059730529785,0.1
2025-01-22 20:22:55.292605,united_kingdom,[124324.2934],,2019-08-01,11.580708980560303,0.1
2025-01-22 20:23:06.812743,united_kingdom,[124324.2934],,2019-08-02,11.519529581069946,0.1
2025-01-22 20:32:25.540432,united_kingdom,[124324.2934],,2019-08-01,11.599655866622925,0.1
2025-01-22 20:32:37.147513,united_kingdom,[124324.2934],,2019-08-02,11.606585264205933,0.1
2025-01-22 20:32:48.739223,united_kingdom,[124324.2934],,2019-08-03,11.5912446975708,0.1
2025-01-22 20:33:00.296363,united_kingdom,[124324.2934],,2019-08-04,11.55667757987976,0.1
2025-01-22 20:33:11.912524,united_kingdom,[124324.2934],,2019-08-05,11.615712404251099,0.1
2025-01-22 20:33:23.096576,united_kingdom,[124324.2934],,2019-08-06,11.18354868888855,0.1
2025-01-22 20:33:34.549652,united_kingdom,[124324.2934],,2019-08-07,11.452552318572998,0.1
2025-01-22 20:33:46.090818,united_kingdom,[124324.2934],,2019-08-08,11.54051685333252,0.1
2025-01-22 20:33:57.770609,united_kingdom,[124324.2934],,2019-08-09,11.679296970367432,0.1
2025-01-22 20:34:09.402509,united_kingdom,[124324.2934],,2019-08-10,11.631448984146118,0.1
2025-01-22 20:34:20.990567,united_kingdom,[124324.2934],,2019-08-11,11.587604522705078,0.1
